model,seed,intervention_level,mean_A,mean_B,mean_C,mean_abs_A,mean_abs_B,mean_abs_C,n_reduced_A,n_reduced_B,n_reduced_C,n_total,wilcoxon_p_AB,wilcoxon_p_AC,wilcoxon_p_BC,f1,auc,brier
SVM,42,10,0.005807806752253417,0.0056739459739693614,0.005575816780970183,0.044150785594000916,0.04515070830832891,0.04843551018097391,990,1011,1005,3000,1.1251670316615456e-18,4.417513202513255e-28,5.622651345430189e-31,0.43523316062176165,0.7289311355009078,0.14300954785846823
SVM,42,25,0.005646859485563643,0.005472232099150326,0.005048324401210259,0.039720558134713084,0.04242419187608088,0.05020558392952293,964,1003,1028,3000,3.92775494138363e-20,6.873173726731481e-25,1.2674097844446465e-26,0.43523316062176165,0.7289311355009078,0.14300954785846823
SVM,42,50,0.004841716262401707,0.005239770087540598,0.004028522898206252,0.03310230162856064,0.039071846611739035,0.05374750206626043,992,998,1055,3000,2.230627867497374e-23,4.287124361394431e-26,1.4323632488896392e-23,0.43523316062176165,0.7289311355009078,0.14300954785846823
XGBoost,42,10,0.05059805139899254,0.05086912959814072,0.02955937199294567,0.18773294985294342,0.1788761168718338,0.17728975415229797,1144,1138,1268,3000,6.440757792948273e-05,4.9569511748794325e-09,1.8066225862215907e-28,0.5361645653616457,0.7786621657864334,0.1696349621233692
XGBoost,42,25,0.03856419771909714,0.05094028636813164,0.03033791109919548,0.1843152642250061,0.17600537836551666,0.1777203530073166,1205,1154,1267,3000,1.3447930964967736e-36,0.5988385388789702,2.6233147566590494e-21,0.5361645653616457,0.7786621657864334,0.1696349621233692
XGBoost,42,50,0.0406142994761467,0.05248751491308212,0.033365003764629364,0.17522236704826355,0.1713600605726242,0.17790839076042175,1186,1137,1252,3000,2.048588364410102e-19,0.7745078745466892,4.029110600026074e-15,0.5361645653616457,0.7786621657864334,0.1696349621233692
RandomForest,42,10,0.013545900006659317,0.020686844111656586,0.0263599065548588,0.09112668535290633,0.08856955752124471,0.09171717313718973,1272,1248,1154,3000,1.1356180858179273e-131,8.787662443695896e-193,3.347106320691193e-95,0.5373364126250962,0.7870407142267701,0.15924565903526658
RandomForest,42,25,0.006039229097900021,0.019524098049790346,0.030104007361936046,0.09008861675775749,0.0872785623049488,0.09503136780432332,1342,1249,1104,3000,5.073720465194854e-196,8.375713892227996e-248,1.6867454260794837e-132,0.5373364126250962,0.7870407142267701,0.15924565903526658
RandomForest,42,50,-0.008549251142910936,0.017441816293892833,0.032074029656590494,0.08455299908362154,0.08537113352015092,0.09829051116484315,1529,1272,1074,3000,1.0601918058013977e-275,2.5493271622685147e-281,4.821421000850878e-137,0.5373364126250962,0.7870407142267701,0.15924565903526658
MLP,42,10,0.0932985469698906,0.09528528153896332,0.10383725166320801,0.2202363759279251,0.22069036960601807,0.23232953250408173,1020,1010,992,3000,2.6274788527193857e-98,6.236984668013081e-204,5.720676113207798e-191,0.5306685044796692,0.7806452694338999,0.17238131737565898
