model,seed,risk_group,n,mean_A,mean_B,mean_abs_A,mean_abs_B,wilcoxon_p_AB,f1,auc,brier
SVM,42,high_risk,301,-0.09292384315930874,-0.10892160973288038,0.1056488915804372,0.11566413565469581,4.8429854447848187e-39,0.43523316062176165,0.7289311355009078,0.14300954785846823
SVM,42,low_risk,2662,0.017894414097550444,0.019674933752924197,0.03146913956104529,0.033394664391039025,8.802630597069464e-67,0.43523316062176165,0.7289311355009078,0.14300954785846823
XGBoost,42,high_risk,843,-0.09345678985118866,-0.07808437943458557,0.16438670456409454,0.14534065127372742,6.705860695263353e-13,0.5361645653616457,0.7786621657864334,0.1696349621233692
XGBoost,42,low_risk,1782,0.11207346618175507,0.12028184533119202,0.19417855143547058,0.19093091785907745,1.972429092034447e-15,0.5361645653616457,0.7786621657864334,0.1696349621233692
RandomForest,42,high_risk,635,-0.08655044155932717,-0.07455752967886964,0.10306399515200751,0.08823054269987493,1.5086917823369699e-09,0.5373364126250962,0.7870407142267701,0.15924565903526658
RandomForest,42,low_risk,1988,0.04542773090726946,0.05850479653080254,0.08682572277578579,0.08839244266811244,2.904797919944021e-169,0.5373364126250962,0.7870407142267701,0.15924565903526658
MLP,42,high_risk,787,-0.0234219990670681,-0.019185179844498634,0.15837278962135315,0.16119860112667084,7.4158656633292e-41,0.5306685044796692,0.7806452694338999,0.17238131737565898
MLP,42,low_risk,1720,0.1286022663116455,0.13823416829109192,0.21067236363887787,0.2177896350622177,1.4800114369529935e-86,0.5306685044796692,0.7806452694338999,0.17238131737565898
SVM,123,high_risk,297,-0.06197518503158798,-0.06971020803356359,0.08766261013900997,0.09323700456061985,1.9400894543584744e-16,0.4409937888198758,0.7168287877537548,0.14411481717236013
SVM,123,low_risk,2679,0.006184639844165127,0.008127808563743948,0.033893563580210576,0.036744405361446734,1.7738217605691928e-06,0.4409937888198758,0.7168287877537548,0.14411481717236013
XGBoost,123,high_risk,914,-0.06621347367763519,-0.05820842459797859,0.11148994415998459,0.10590574890375137,5.218009754548225e-29,0.5120405576679341,0.7678182765307807,0.18368487291904853
XGBoost,123,low_risk,1599,0.10546685755252838,0.11492406576871872,0.16667266190052032,0.1662830114364624,1.29778268566617e-47,0.5120405576679341,0.7678182765307807,0.18368487291904853
RandomForest,123,high_risk,636,-0.022039060054314736,-0.01637863766974958,0.038041557492668146,0.035719907543890886,1.2431835357707159e-28,0.5153846153846153,0.7637795402500411,0.17801376389731582
RandomForest,123,low_risk,1769,0.035440682442927786,0.04479534786437793,0.06169462293660559,0.06324748245355508,3.20881427795332e-176,0.5153846153846153,0.7637795402500411,0.17801376389731582
MLP,123,high_risk,848,-0.0015701876254752278,0.0022669490426778793,0.16233289241790771,0.16640444099903107,1.1619002687078024e-35,0.503968253968254,0.7627154594405018,0.18130983008373502
MLP,123,low_risk,1624,0.16462287306785583,0.1755259782075882,0.2400425672531128,0.24887068569660187,1.663075541194107e-109,0.503968253968254,0.7627154594405018,0.18130983008373502
SVM,456,high_risk,319,-0.047129537029802514,-0.05337428262303371,0.07499257084966153,0.07824070962663031,6.990604891998008e-11,0.4797570850202429,0.7315357319689717,0.13744155229734104
SVM,456,low_risk,2653,0.013658644110376992,0.015018238112097218,0.028364274901621984,0.02985458571968387,7.135200913926221e-16,0.4797570850202429,0.7315357319689717,0.13744155229734104
XGBoost,456,high_risk,889,-0.053682927042245865,-0.046064697206020355,0.10642784088850021,0.09852852672338486,2.250189403769118e-29,0.5486155827430779,0.786401169747483,0.17605643221200057
XGBoost,456,low_risk,1631,0.10559224337339401,0.11787524074316025,0.1645728200674057,0.16397887468338013,2.3806933839839954e-78,0.5486155827430779,0.786401169747483,0.17605643221200057
RandomForest,456,high_risk,649,-0.0822218132356003,-0.06804038354541342,0.094852375146021,0.07786183640791226,5.34629551209026e-13,0.5453160700685453,0.7806420459234197,0.16147346580652333
RandomForest,456,low_risk,1925,0.03948770378126355,0.04982520167796126,0.08120602170996949,0.08060943929371005,1.631033978692228e-124,0.5453160700685453,0.7806420459234197,0.16147346580652333
MLP,456,high_risk,786,-0.0040129185654222965,0.0003884320904035121,0.1550951600074768,0.15968015789985657,5.498818241724437e-44,0.5489655172413793,0.786679681052979,0.1726352234995614
MLP,456,low_risk,1661,0.13908036053180695,0.14711076021194458,0.2148451805114746,0.22029800713062286,5.711323031955115e-71,0.5489655172413793,0.786679681052979,0.1726352234995614
